"FlightDate","Field_ID","Burkeetal2019_ID","UAStype","PolygonType","PondType","area_m2","edge_m","edge.area","Median8dC_BubFlux","Cumulative_BubFlux","TotPrec_8dpreflight"
"2014-07-11","Field_D","A","FWing","pondedge",1,114.9689,56.52,0.49,NA,NA,11.9
"2014-07-11","Field_D","A","FWing","water",1,65.4441,52.03,0.79,NA,NA,11.9
"2015-07-12","Field_D","A","FWing","pondedge",1,149.5011,81.28,0.54,NA,1.569,22.9
"2015-07-12","Field_D","A","FWing","water",1,124.5699,103.3,0.83,NA,1.569,22.9
"2016-06-12","Field_D","A","Quad","pondedge",1,173.3128,72.94,0.42,0,1.334,4.1
"2016-06-12","Field_D","A","Quad","water",1,43.5291,33.88,0.78,0,1.334,4.1
"2016-06-15","Field_D","A","Quad","pondedge",1,184.1024,76.76,0.42,0,1.334,11.8
"2016-06-15","Field_D","A","Quad","water",1,69.1161,45.37,0.66,0,1.334,11.8
"2016-06-17","Field_D","A","Quad","pondedge",1,187.4483,76.28,0.41,0,1.334,13
"2016-06-17","Field_D","A","Quad","water",1,69.8701,55.5,0.79,0,1.334,13
"2016-06-26","Field_D","A","Quad","pondedge",1,174.6055,73.03,0.42,0,1.334,11.2
"2016-06-26","Field_D","A","Quad","water",1,64.9141,43.92,0.68,0,1.334,11.2
"2016-06-29","Field_D","A","Quad","pondedge",1,185.8516,72.98,0.39,0.167,1.334,26.5
"2016-06-29","Field_D","A","Quad","water",1,91.2773,60.35,0.66,0.167,1.334,26.5
"2016-07-03","Field_D","A","Quad","pondedge",1,184.9326,74.91,0.41,0.167,1.334,26.4
"2016-07-03","Field_D","A","Quad","water",1,117.9974,76.74,0.65,0.167,1.334,26.4
"2016-07-06","Field_D","A","Quad","pondedge",1,191.9282,74.18,0.39,0,1.334,50.1
"2016-07-06","Field_D","A","Quad","water",1,268.2752,150.52,0.56,0,1.334,50.1
"2016-07-12","Field_D","A","FWing","pondedge",1,164.0996,76.41,0.47,0,1.334,29.8
"2016-07-12","Field_D","A","FWing","water",1,235.0003,164.02,0.7,0,1.334,29.8
"2016-07-12","Field_D","A","Quad","pondedge",1,194.5076,75.09,0.39,0,1.334,29.8
"2016-07-12","Field_D","A","Quad","water",1,254.302,140.32,0.55,0,1.334,29.8
"2016-07-19","Field_D","A","Quad","pondedge",1,198.9971,75.67,0.38,0,1.334,32.6
"2016-07-19","Field_D","A","Quad","water",1,268.3808,145.53,0.54,0,1.334,32.6
"2016-07-24","Field_D","A","Quad","pondedge",1,187.5007,73.01,0.39,0,1.334,14.2
"2016-07-24","Field_D","A","Quad","water",1,243.782,149.25,0.61,0,1.334,14.2
"2016-07-30","Field_D","A","Quad","pondedge",1,192.9435,71.25,0.37,0,1.334,45
"2016-07-30","Field_D","A","Quad","water",1,283.7788,151.58,0.53,0,1.334,45
"2016-08-22","Field_D","A","Quad","pondedge",1,197.2163,70.86,0.36,NA,1.334,3.3
"2016-08-22","Field_D","A","Quad","water",1,304.2908,144.34,0.47,NA,1.334,3.3
"2017-07-24","Field_D","A","FWing","pondedge",1,185.4977,77.85,0.42,NA,21.641,6.6
"2017-07-24","Field_D","A","FWing","water",1,241.1441,173.86,0.72,NA,21.641,6.6
"2017-07-26","Field_D","A","Quad","pondedge",1,197.4822,74.64,0.38,NA,21.641,0
"2017-07-26","Field_D","A","Quad","water",1,214.2095,129.53,0.6,NA,21.641,0
"2018-06-17","Field_D","A","Quad","pondedge",1,185.1435,64.89,0.35,0.284,12.768,5.5
"2018-06-17","Field_D","A","Quad","water",1,56.3317,48.04,0.85,0.284,12.768,5.5
"2018-06-28","Field_D","A","Quad","pondedge",1,203.8373,75.43,0.37,0,12.768,21.3
"2018-06-28","Field_D","A","Quad","water",1,346.1912,148.47,0.43,0,12.768,21.3
"2018-07-05","Field_D","A","Quad","pondedge",1,191.7324,73.9,0.39,0,12.768,0.6
"2018-07-05","Field_D","A","Quad","water",1,130.3752,77.84,0.6,0,12.768,0.6
"2018-07-11","Field_D","A","Quad","pondedge",1,189.3418,75.57,0.4,0,12.768,5.4
"2018-07-11","Field_D","A","Quad","water",1,126.763,74.54,0.59,0,12.768,5.4
"2018-07-17","Field_D","A","Quad","pondedge",1,177.9637,64.16,0.36,0.001,12.768,1.2
"2018-07-17","Field_D","A","Quad","water",1,94.0279,64.37,0.68,0.001,12.768,1.2
